Time,w1,w2,PE
5.58,-0.5486245,-0.6770754,-104.0333
5.6,-0.545229,-0.6732272,-99.90947
5.62,-0.541181,-0.6686466,-95.3076
5.64,-0.5365205,-0.6633402,-90.26882
5.66,-0.5313007,-0.6573681,-84.83696
5.68,-0.5255616,-0.6507767,-79.05762
5.7,-0.5193963,-0.6436062,-72.97755
5.72,-0.512765,-0.6358963,-66.64357
5.74,-0.5057743,-0.6277137,-60.1027
5.76,-0.4984639,-0.6190851,-53.40057
5.78,-0.4908473,-0.6100637,-46.58142
5.8,-0.4830176,-0.6006827,-39.68765
5.82,-0.4750147,-0.5910154,-32.75923
5.84,-0.4668788,-0.5810885,-25.83315
5.86,-0.4586496,-0.5709418,-18.94365
5.88,-0.4503539,-0.5606221,-12.12206
5.9,-0.4420182,-0.5501592,-5.396633
5.92,-0.4337091,-0.5396197,1.207471
5.94,-0.4254666,-0.529027,7.66845
5.96,-0.417304,-0.5183877,13.96767
5.98,-0.409248,-0.5077516,20.08872
6.02,-0.3936152,-0.4866128,31.74603
6.04,-0.3860652,-0.4761566,37.26319
6.06,-0.3787015,-0.4658102,42.56363
6.08,-0.3716042,-0.4556003,47.64293
6.1,-0.3647332,-0.4455335,52.49884
6.12,-0.3581286,-0.4356366,57.13029
6.14,-0.3517903,-0.425946,61.53779
6.16,-0.3457183,-0.4164285,65.7228
6.18,-0.3399259,-0.4071341,69.68781
6.2,-0.3344398,-0.3980727,73.43613
6.22,-0.3292466,-0.389231,76.97198
6.24,-0.3243597,-0.380659,80.29992
6.26,-0.3197924,-0.3723299,83.42492
6.28,-0.3155713,-0.3642439,86.35235
6.3,-0.3116431,-0.3564242,89.08788
6.32,-0.3080479,-0.3489041,91.63701
6.34,-0.3047588,-0.341647,94.00555
6.36,-0.3018161,-0.3346828,96.199
6.38,-0.2991928,-0.3280049,98.22305
6.4,-0.2969159,-0.3216133,100.0831
6.42,-0.2949318,-0.315518,101.7843
6.44,-0.2932673,-0.3097123,103.3317
6.46,-0.2919224,-0.3042229,104.7297
6.48,-0.2909237,-0.2990264,105.9829
6.5,-0.2902446,-0.2941328,107.0953
6.52,-0.2898851,-0.2895289,108.0707
6.54,-0.2898318,-0.2852479,108.9124
6.56,-0.2901115,-0.2812565,109.6234
6.58,-0.2906707,-0.2775946,110.2062
6.6,-0.2915895,-0.274239,110.6631
6.62,-0.2927879,-0.271193,110.996
6.64,-0.2943193,-0.26846,111.2063
6.66,-0.2961569,-0.2660432,111.2949
6.68,-0.2982874,-0.2639393,111.2624
6.7,-0.3007242,-0.262145,111.1091
6.72,-0.3034539,-0.2606636,110.8348
6.74,-0.3065032,-0.2595018,110.4389
6.76,-0.3098189,-0.2586462,109.9203
6.78,-0.3134141,-0.2581236,109.2778
6.8,-0.3173556,-0.2579172,108.5096
6.82,-0.3215501,-0.258027,107.6134
6.84,-0.3260508,-0.2584665,106.587
6.86,-0.3308312,-0.2592055,105.4273
6.88,-0.3358912,-0.2602641,104.1312
6.9,-0.3412042,-0.2616556,102.6953
6.92,-0.3468301,-0.26336,101.1157
6.94,-0.3527291,-0.2653774,99.38845
6.96,-0.3588676,-0.2677243,97.50906
6.98,-0.3652659,-0.2703674,95.47316
7.02,-0.378848,-0.2766392,90.91281
7.04,-0.3859986,-0.2802411,88.37884
7.06,-0.3934022,-0.2841626,85.66893
7.08,-0.4010588,-0.2883505,82.77812
7.1,-0.4089084,-0.2928579,79.70183
7.12,-0.4169711,-0.2976515,76.43558
7.14,-0.4252669,-0.3027415,72.97496
7.16,-0.4337424,-0.3081045,69.31599
7.18,-0.4424243,-0.3137404,65.45536
7.2,-0.4512793,-0.3196492,61.3902
7.22,-0.4602808,-0.3257845,57.11839
7.24,-0.4694088,-0.3321495,52.63865
7.26,-0.4786833,-0.3387474,47.95121
7.28,-0.4880776,-0.3455485,43.05676
7.3,-0.4975451,-0.3525426,37.95787
7.32,-0.5070726,-0.3596999,32.65824
7.34,-0.5166399,-0.3670036,27.16361
7.36,-0.526234,-0.3744271,21.48151
7.38,-0.5358214,-0.3819572,15.62124
7.4,-0.5453755,-0.3895506,9.594373
7.42,-0.554843,-0.3971805,3.414973
7.44,-0.564244,-0.4048305,-2.90067
7.46,-0.5735185,-0.4124638,-9.333561
7.48,-0.5825799,-0.4200338,-15.86258
7.5,-0.5914947,-0.4275006,-22.46292
7.52,-0.6001167,-0.4348393,-29.10811
7.54,-0.6084657,-0.4420082,-35.7685
7.56,-0.6164885,-0.448969,-42.4122
7.58,-0.6241584,-0.4556569,-49.0051
7.6,-0.6314489,-0.4620485,-55.51067
7.62,-0.6382865,-0.4681055,-61.89111
7.64,-0.6446515,-0.4737531,-68.10687
7.66,-0.6504638,-0.4789895,-74.11751
7.68,-0.6557036,-0.4837566,-79.8819
7.7,-0.6603575,-0.4880027,-85.35924
7.72,-0.6643322,-0.4916895,-90.50919
7.74,-0.6676213,-0.494792,-95.29272
7.76,-0.6702378,-0.4972671,-99.67278
7.78,-0.672082,-0.4990731,-103.615
7.8,-0.6731406,-0.5001933,-107.0881
7.82,-0.6734402,-0.5005994,-110.0645
7.84,-0.6729409,-0.5002599,-112.5215
7.86,-0.671616,-0.4991913,-114.4408
7.88,-0.6694388,-0.497362,-115.8096
7.9,-0.6664295,-0.4947488,-116.6205
7.92,-0.6625679,-0.4913732,-116.8719
7.94,-0.6579074,-0.4872203,-116.568
7.96,-0.6523946,-0.4823135,-115.7188
7.98,-0.6460962,-0.4766593,-114.3397
8.02,-0.6311559,-0.4631903,-110.0792
8.04,-0.6225272,-0.4554139,-107.2531
8.059999,-0.6131862,-0.4469816,-104.0066
8.08,-0.6031927,-0.4379402,-100.3764
8.099999,-0.5925667,-0.4282929,-96.40139
8.12,-0.5813282,-0.4181263,-92.12242
8.139999,-0.569557,-0.4074337,-87.58095
8.16,-0.5572532,-0.3962684,-82.81939
